Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,2228.199951,2237.850098,2186.350098,2219.100098,2190.977539,3499620
2022-05-12,2190.000000,2204.000000,2143.000000,2150.449951,2123.197266,4361039
2022-05-13,2165.399902,2190.949951,2125.250000,2132.949951,2105.919189,4905109
2022-05-16,2134.500000,2182.550049,2130.550049,2172.100098,2144.573242,1745877
2022-05-17,2180.000000,2196.600098,2160.750000,2190.550049,2162.789307,3079155
2022-05-18,2195.000000,2218.000000,2178.000000,2184.550049,2156.865234,2472415
2022-05-19,2132.000000,2158.949951,2122.649902,2136.300049,2109.226807,3867697
2022-05-20,2165.000000,2212.000000,2152.300049,2201.600098,2173.699219,3954167
2022-05-23,2217.699951,2221.000000,2165.199951,2175.949951,2148.374268,3630816
2022-05-24,2167.750000,2226.000000,2158.100098,2206.800049,2178.833252,3778065
2022-05-25,2217.850098,2251.149902,2216.050049,2237.449951,2209.094727,3147555
2022-05-26,2242.000000,2301.649902,2242.000000,2287.750000,2258.757324,5940524
2022-05-27,2304.600098,2334.250000,2300.300049,2330.399902,2300.866943,2257207
2022-05-30,2367.800049,2388.000000,2362.300049,2367.250000,2337.250000,5423558
2022-05-31,2328.000000,2334.199951,2287.899902,2306.750000,2306.750000,6282851
2022-06-01,2314.000000,2335.649902,2292.350098,2329.899902,2329.899902,2982569
2022-06-02,2324.399902,2324.399902,2278.350098,2289.600098,2289.600098,2873032
2022-06-03,2308.000000,2316.050049,2271.350098,2277.350098,2277.350098,2975522
2022-06-06,2257.000000,2288.000000,2256.050049,2274.000000,2274.000000,2897544
2022-06-07,2248.500000,2263.000000,2226.000000,2259.500000,2259.500000,2112189
2022-06-08,2280.000000,2281.699951,2242.600098,2258.649902,2258.649902,1780048
2022-06-09,2240.050049,2273.750000,2238.000000,2265.449951,2265.449951,2053393
2022-06-10,2240.300049,2246.949951,2172.500000,2179.800049,2179.800049,4485909
2022-06-13,2115.000000,2137.649902,2089.350098,2128.449951,2128.449951,3700786
2022-06-14,2094.000000,2132.000000,2090.050049,2109.500000,2109.500000,3631959
2022-06-15,2097.000000,2110.949951,2071.300049,2105.449951,2105.449951,4365287
2022-06-16,2115.350098,2133.800049,2050.000000,2056.500000,2056.500000,3189251
2022-06-17,2035.000000,2064.899902,2026.000000,2052.699951,2052.699951,5009613
2022-06-20,2063.449951,2139.850098,2062.100098,2135.250000,2135.250000,5845204
2022-06-21,2147.100098,2192.050049,2138.649902,2174.699951,2174.699951,3407154
2022-06-22,2160.000000,2185.850098,2151.100098,2159.250000,2159.250000,2951514
2022-06-23,2156.350098,2179.949951,2135.000000,2164.199951,2164.199951,2709259
2022-06-24,2160.100098,2201.000000,2158.050049,2189.000000,2189.000000,3076421
2022-06-27,2219.000000,2221.000000,2188.800049,2194.449951,2194.449951,2781655
2022-06-28,2177.000000,2197.000000,2159.000000,2180.850098,2180.850098,2995821
2022-06-29,2168.000000,2189.949951,2164.100098,2177.149902,2177.149902,2137621
2022-06-30,2156.050049,2194.000000,2152.100098,2170.850098,2170.850098,3052310
2022-07-01,2155.000000,2224.050049,2133.100098,2210.550049,2210.550049,2776869
2022-07-04,2195.149902,2220.550049,2178.199951,2216.850098,2216.850098,1713059
2022-07-05,2241.000000,2245.500000,2191.399902,2202.899902,2202.899902,3289675
2022-07-06,2186.000000,2234.000000,2186.000000,2229.500000,2229.500000,3415023
2022-07-07,2241.600098,2249.449951,2228.600098,2245.550049,2245.550049,2907549
2022-07-08,2260.000000,2262.399902,2224.899902,2239.750000,2239.750000,4484309
2022-07-11,2233.250000,2260.000000,2228.250000,2249.500000,2249.500000,2115442
2022-07-12,2230.000000,2243.000000,2218.000000,2226.899902,2226.899902,1699784
2022-07-13,2235.000000,2239.600098,2160.550049,2165.050049,2165.050049,3364164
2022-07-14,2177.850098,2194.899902,2160.000000,2167.399902,2167.399902,2740215
2022-07-15,2172.500000,2218.949951,2171.250000,2216.100098,2216.100098,2486731
2022-07-18,2212.000000,2223.350098,2188.000000,2204.300049,2204.300049,2747346
2022-07-19,2192.000000,2223.000000,2191.250000,2217.699951,2217.699951,2586991
2022-07-20,2243.000000,2252.699951,2224.000000,2231.399902,2231.399902,2511265
2022-07-21,2230.000000,2250.399902,2225.000000,2242.399902,2242.399902,2316951
2022-07-22,2260.000000,2302.050049,2250.600098,2295.949951,2295.949951,3059414
2022-07-25,2286.000000,2320.000000,2275.600098,2308.649902,2308.649902,1931624
2022-07-26,2307.750000,2309.949951,2286.000000,2292.500000,2292.500000,1606301
2022-07-27,2286.250000,2316.800049,2282.550049,2313.350098,2313.350098,1103714
2022-07-28,2323.100098,2345.600098,2319.000000,2337.550049,2337.550049,1780021
2022-07-29,2356.000000,2392.699951,2340.399902,2377.800049,2377.800049,5268895
2022-08-01,2397.000000,2397.000000,2362.050049,2383.750000,2383.750000,2297226
2022-08-02,2371.300049,2380.000000,2330.250000,2353.300049,2353.300049,2830058
2022-08-03,2353.300049,2374.000000,2325.000000,2368.399902,2368.399902,2738937
2022-08-04,2379.850098,2386.250000,2330.000000,2361.750000,2361.750000,1807757
2022-08-05,2362.000000,2363.949951,2336.100098,2355.199951,2355.199951,1802793
2022-08-08,2360.000000,2402.000000,2342.149902,2393.699951,2393.699951,2191019
2022-08-10,2404.449951,2406.850098,2370.850098,2398.300049,2398.300049,2345758
2022-08-11,2421.000000,2463.500000,2416.000000,2454.850098,2454.850098,3970325
2022-08-12,2448.000000,2469.949951,2438.600098,2456.399902,2456.399902,2502119
2022-08-16,2470.000000,2490.000000,2466.550049,2484.149902,2484.149902,2294546
2022-08-17,2486.000000,2498.000000,2444.050049,2491.600098,2491.600098,1636890
2022-08-18,2480.000000,2507.949951,2480.000000,2497.949951,2497.949951,2219069
2022-08-19,2492.550049,2500.000000,2459.600098,2468.050049,2468.050049,2411051
2022-08-22,2456.550049,2460.949951,2419.250000,2423.199951,2423.199951,1712483
2022-08-23,2403.000000,2440.949951,2396.850098,2420.750000,2420.750000,1639606
2022-08-24,2400.000000,2443.000000,2400.000000,2438.500000,2438.500000,2194348
2022-08-25,2450.000000,2468.399902,2410.350098,2419.750000,2419.750000,1276129
2022-08-26,2435.000000,2445.000000,2390.500000,2396.699951,2396.699951,2461738
2022-08-29,2354.000000,2379.000000,2340.000000,2366.000000,2366.000000,2202446
