Date,Open,High,Low,Close,Adj Close,Volume
2002-12-23,40.851501,48.389576,40.705601,47.319656,30.459135,17672356
2002-12-24,48.049145,50.578049,47.660084,48.243675,31.053915,15696373
2002-12-25,48.243675,48.243675,48.243675,48.243675,31.053915,0
2002-12-26,48.632740,49.362228,47.465553,47.708717,30.709560,4182425
2002-12-27,49.070435,50.188988,47.660084,48.973167,31.523478,5895949
2002-12-30,48.632740,48.632740,47.368286,47.708717,30.709560,2137393
2002-12-31,47.611450,49.070435,47.465553,48.292309,31.085207,2703263
2003-01-01,48.632740,48.924534,47.757347,48.195045,31.022610,1980501
2003-01-02,48.389576,48.827271,47.416920,47.660084,30.678259,1672415
2003-01-03,48.146412,48.632740,47.708717,48.146412,30.991302,2494500
2003-01-06,48.292309,48.340942,44.936649,45.131180,29.050428,2095719
2003-01-07,45.179813,46.347000,43.866730,45.860672,29.519993,3110089
2003-01-08,45.909306,46.784695,45.860672,46.152470,29.707829,1502442
2003-01-09,46.201103,50.529415,46.103836,49.897190,32.118271,7525263
2003-01-10,50.529415,53.058319,49.119064,50.967110,32.806957,8925420
2003-01-13,51.453438,52.912418,50.772579,52.182930,33.589569,3580028
2003-01-14,52.669254,53.398746,51.550701,52.717888,33.933914,3723028
2003-01-15,53.204216,54.225506,52.620625,53.739178,34.591305,4139475
2003-01-16,53.593277,54.857731,53.593277,54.225506,34.904350,3742346
2003-01-17,54.468666,54.857731,53.350113,54.079605,34.810440,2538264
2003-01-20,54.225506,57.678429,54.225506,57.143467,36.782616,8251433
2003-01-21,58.845615,66.821381,57.581161,65.994629,42.480000,18386973
2003-01-22,67.113182,70.663368,64.146584,65.751465,42.323479,18288468
2003-01-23,65.654198,70.079781,64.292480,67.842674,43.669563,16129535
2003-01-24,67.842674,68.766693,62.638969,63.514359,40.883484,8165154
2003-01-27,64.681541,64.681541,58.602451,59.769634,38.473049,6289079
2003-01-28,60.304596,63.514359,59.477840,62.833500,40.445217,6841612
2003-01-29,63.708889,65.897362,62.833500,63.611622,40.946087,7404316
2003-01-30,64.146584,64.681541,61.909477,62.298538,40.100876,3601296
2003-01-31,62.249905,62.444435,59.818268,60.547760,38.973911,4819148
2003-02-03,61.277252,63.514359,60.936821,63.173927,40.664349,4098036
2003-02-04,64.000687,68.718063,64.000687,65.897362,42.417385,16233054
2003-02-05,66.140526,67.307709,64.584274,65.313766,42.041737,6890782
2003-02-06,65.167870,67.307709,63.514359,66.870018,43.043480,9863875
2003-02-07,67.453606,67.453606,64.681541,65.021973,41.853924,5580513
2003-02-10,65.167870,65.167870,61.617680,62.055374,39.944347,4267093
2003-02-11,62.249905,63.076660,60.207333,60.499126,38.942608,5325542
2003-02-12,60.304596,62.055374,58.748348,60.596394,39.005219,5611380
2003-02-13,60.596394,60.596394,60.596394,60.596394,39.005219,0
2003-02-14,61.034088,61.034088,56.900303,57.240734,36.845215,6275873
2003-02-17,59.040146,62.930763,58.359287,62.201275,40.038261,7099684
