,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
17,L I C Housing Finance Ltd.,2007-12-31 00:00:00,76.39,84932600,3,2007,5488,4439.8,1060.2,2008-01-16 13:25:41,1,,
18,I C I C I Bank Ltd.,2007-12-31 00:00:00,224.07,1112540798,3,2007,79117.7,91081.5,12302.1,2008-01-19 14:57:09,0,,
20,Housing Development Finance Corpn. Ltd.,2007-12-31 00:00:00,574.49,281570039,3,2007,20469.3,16267.3,6489.3,2008-01-21 16:28:32,0,,
21,H D F C Bank Ltd.,2007-12-31 00:00:00,172.78,354075320,3,2007,27269,29764.3,4293.6,2008-01-21 16:28:32,0,,
22,Canara Bank,2007-12-31 00:00:00,322.98,410000000,3,2007,35501.6,36377.7,4588.3,2008-01-23 12:47:58,0,,
23,State Bank Of India,2007-12-31 00:00:00,223.71,526298878,3,2007,126668.2,135553.6,18086.4,2008-01-24 20:15:54,0,,
24,Max Financial Services Ltd.,2007-12-31 00:00:00,262.05,221734965,3,2007,1039.8,828,209.5,2008-01-28 16:16:08,0,,
25,Bank Of Baroda,2007-12-31 00:00:00,91.92,364266400,3,2007,30021.9,31191.3,5010.5,2008-01-30 00:00:00,0,,
26,H D F C Bank Ltd.,2008-03-31 00:00:00,132,354432920,4,2007,29561.8,30344.1,4711.1,2008-04-24 14:25:44,1,,
27,Housing Development Finance Corpn. Ltd.,2008-03-31 00:00:00,476.75,284037985,4,2007,23096.7,17541.6,7681.2,2008-04-24 14:25:44,0,,
28,L I C Housing Finance Ltd.,2008-03-31 00:00:00,55.93,84932600,4,2007,6067.7,5124.5,1181,2008-04-25 13:16:18,0,,
29,I C I C I Bank Ltd.,2008-03-31 00:00:00,140.02,1112687495,4,2007,80292.7,92410.8,11498.4,2008-04-26 15:58:09,0,,
30,Canara Bank,2008-03-31 00:00:00,219.05,410000000,4,2007,37880,40382.1,4640.6,2008-04-26 16:14:23,0,,
31,Kotak Mahindra Bank Ltd.,2007-12-31 00:00:00,324.05,344211337,3,2007,6826.5,7855.2,1016.7,2008-05-09 14:16:43,0,,
32,Bank Of Baroda,2008-03-31 00:00:00,56.78,364266400,4,2007,33310.7,36092.6,2764.4,2008-05-20 00:00:00,0,,
33,Max Financial Services Ltd.,2008-03-31 00:00:00,147,221742545,4,2007,1108.3,916.9,202.2,2008-05-20 08:30:26,0,,
34,State Bank Of India,2008-03-31 00:00:00,159.88,631470376,4,2007,135767.3,145106.8,18832.5,2008-05-27 21:52:31,0,,
35,Bajaj Finserv Ltd.,2008-06-30 00:00:00,52.79,144683510,1,2008,268,175.5,96.6,2008-07-09 00:00:00,1,,
36,Max Financial Services Ltd.,2008-06-30 00:00:00,154.8,222022720,1,2008,1146.6,1070.3,136.1,2008-07-18 16:14:37,0,,
37,Canara Bank,2008-06-30 00:00:00,173.14,410000000,1,2008,37305.4,39763.7,1226.8,2008-07-21 12:41:32,0,,
38,L I C Housing Finance Ltd.,2008-06-30 00:00:00,53.03,84932600,1,2008,6199.4,5184.2,1046.6,2008-07-21 13:29:57,0,,
39,State Bank Of India,2008-06-30 00:00:00,111.15,634880222,1,2008,137992,145622.8,16407.9,2008-07-26 13:55:15,0,,
40,I C I C I Bank Ltd.,2008-06-30 00:00:00,114.58,1113092261,1,2008,78918,87019.7,7280.1,2008-07-26 14:07:28,0,,
41,Kotak Mahindra Bank Ltd.,2008-03-31 00:00:00,157.14,344672842,4,2007,7636.7,7338.1,692.1,2008-07-28 11:56:33,0,,
42,Housing Development Finance Corpn. Ltd.,2008-06-30 00:00:00,392.48,284210170,1,2008,23134.8,18505.1,4681.1,2008-07-28 13:48:27,0,,
43,H D F C Bank Ltd.,2008-06-30 00:00:00,100.23,424616776,1,2008,36217.3,37508,4643.5,2008-07-28 13:48:27,0,,
44,Bank Of Baroda,2008-06-30 00:00:00,40.65,364266400,1,2008,32938.2,34355.1,3708.6,2008-07-29 00:00:00,0,,
45,Housing Development Finance Corpn. Ltd.,2008-09-30 00:00:00,428.23,284231755,2,2008,25925.4,20863.6,5342.3,2008-10-16 15:47:57,1,,
46,H D F C Bank Ltd.,2008-09-30 00:00:00,122.9,425029476,2,2008,39912.1,41063.4,5279.8,2008-10-16 15:47:57,0,,
